smiles,denticities,coordinating_atom_indices,coordinating_atom_symbols
C/C(=N\CCCNCCC/N=C(\C)C(C)(C)[S+](=O)=O)C(C)(C)[S+]=O,6,"[23, 22, 2, 6, 10, 16]","['O', 'S', 'N', 'N', 'N', 'S']"
Cc1cccnc1C,1,[5],['N']
FC(F)(F)c1ccc([CH]c2c(CP(c3ccccc3)c3ccccc3)cccc2CP(c2ccccc2)c2ccccc2)cc1,3,"[12, 8, 30]","['P', 'C', 'P']"
Cc1cc(C)c(CP(c2ccccc2)c2ccccc2)c([CH]c2ccccc2)c1CP(c1ccccc1)c1ccccc1,3,"[7, 21, 30]","['P', 'C', 'P']"
[CH2]/C(=C(\[CH]c1ccccc1)c1ccccc1)c1ccccc1,2,"[0, 3]","['C', 'C']"
CCSCCSCC,2,"[2, 5]","['S', 'S']"
COc1ccccc1CCP(c1ccccc1)c1ccccc1,1,[10],['P']
O/N=C/c1cccnc1,1,[7],['N']
[C]#[N+]c1ccc(Cl)cc1,1,[0],['C']
COc1ccc(/C=N/NC(=O)c2cc[nH+]cc2)c([O-])c1,3,"[10, 7, 18]","['O', 'N', 'O']"
O=C(N/N=C/c1ccc(O)cc1[O-])c1cc[nH+]cc1,3,"[0, 3, 12]","['O', 'N', 'O']"
[O-]c1c(F)cc(F)cc1/C=N/CCC/N=C/c1cc(F)cc(F)c1[O-],4,"[0, 10, 14, 24]","['O', 'N', 'N', 'O']"
CCN(CC)c1ccc(/C=N/c2ccc([N+](=O)[O-])cc2)c([O-])c1,2,"[21, 10]","['O', 'N']"
CCO/C(=C(C(=[C]/c1ccccc1)/c1ccccc1)\c1ccccc1)c1ccccc1,1,[6],['C']
Clc1cnc2c(ccc3nc[n-]c32)c1,2,"[3, 11]","['N', 'N']"
CC(=O)C1=CNC=CC=C1,4,"[9, 8, 7, 6]","['C', 'C', 'C', 'C']"
[C]N(CC)CC,1,[0],['C']
